cuenta_normalizada,company,industria,tier_cuenta,servicio_normalizado,service_name,familia,subfamilia,pilar,modalidad,ticket_tipo,activo,grupo_sustitucion,regla_grupo,descripcion_regla,nivel,rol_en_grupo,etiqueta_rol,oportunidad_neta,cubierto_por,nivel_base,motivo_grupo,cobertura,etiqueta_cobertura,tipo_oportunidad,score,score_neto,prioridad,ranking_en_cuenta,valor_potencial_eur,valor_referencia_eur,valor_anual_eur,fuente_valor,modalidad_valor,c_demanda,c_afinidad,c_valor,c_momentum,c_adyacencia,score_base,factor_estado,factor_recencia,penetracion_pct,win_rate,momentum_pct,adopcion_industria_pct,cuentas_industria_ejecutan,cuentas_industria,basket_confianza_ejecutado,basket_lift_ejecutado,anclaje,n_pitches,n_perdidos,ultima_derrota,dias_desde_derrota,reactivable,ultimo_movimiento,motivo,accion_sugerida
Sky Airline,SKY AIRLINE,Travel & Aerolineas,Emergente,Perf. Powered Conv.,Performance Powered Conversions (ECL),Tech Consulting,Enhance Conversions,CSA - Tech,Proyecto,Bajo,True,solo:Performance Powered Conversions (ECL),ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,36.5,36.5,B,11.0,1961.0,1960.8000000000002,1960.8000000000002,Historico CL,Valor cerrado en Chile,0.299,0.0,1.0,0.779,0.1,36.511,1.0,1.0,3.4,0.5,75.0,0.0,0,2,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Esmax,ESMAX,Energia & Combustibles,Desarrollo,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,36.4,36.4,B,13.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.2,36.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
SMU,SMU,Retail Supermercados,Emergente,Licencias GA4 360,Licencias GA4 360,Tech Consulting,Licencias,CSA - Tech,Licencia,A cotizar,True,solo:Licencias GA4 360,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,36.4,36.4,B,18.0,25314.0,25314.32,25314.32,Historico CL,Valor cerrado en Chile,0.0,0.0,1.0,0.951,0.35,36.407,1.0,1.0,0.0,0.0,100.0,0.0,0,1,0.0,0.0,mismo pilar (CSA - Tech),0.0,0.0,,,,,Engancha por mismo pilar (CSA - Tech); servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Esmax,ESMAX,Energia & Combustibles,Desarrollo,1PD Integration,1PD Integration (until 15 sources) - Google,Data Integration & Activation,Data Integration,CSA - Tech,Proyecto,Alto,True,solo:1PD Integration (until 15 sources) - Google,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,36.1,36.1,B,14.0,12157.0,12156.75,12156.75,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.896,0.2,36.143,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
SMU,SMU,Retail Supermercados,Emergente,ABCD Basic Mensual,ABCD Detector - Basic (20 Videos) per month,Tech Consulting,AI Video,CSA - Tech,Mensual,Bajo,True,ABCD Detector,ESCALABLE,Escalones de volumen de video (Basic 20 / Pro 100 / Enterprise 500) y de facturacion. Mismo criterio que C-GenIA.,1,REPRESENTANTE,Variante elegida del grupo,True,,,Variante elegida entre 7 del grupo ABCD Detector: con una basta.,BLANCO,Nunca ofrecido,Espacio blanco,34.9,34.9,C,19.0,3488.0,3487.55,3487.55,Historico CL,Valor cerrado en Chile,0.0,0.0,1.0,0.826,0.35,34.907,1.0,1.0,0.0,0.0,75.0,0.0,0,1,0.0,0.0,mismo pilar (CSA - Tech),0.0,0.0,,,,,Engancha por mismo pilar (CSA - Tech); servicio con demanda activa en los ultimos meses.,Elegir la variante con el cliente antes de cotizar
Cruz Verde,CRUZ VERDE,Retail Farmacia,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Decathlon,DECATHLON,Retail Deportes,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Esmax,ESMAX,Energia & Combustibles,Desarrollo,Licencias GA4 360,Licencias GA4 360,Tech Consulting,Licencias,CSA - Tech,Licencia,A cotizar,True,solo:Licencias GA4 360,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,15.0,25314.0,25314.32,25314.32,Historico CL,Valor cerrado en Chile,0.0,0.048,1.0,0.951,0.2,34.647,1.0,1.0,0.0,0.0,100.0,0.0,0,4,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Gasco,GASCO,Energia & Combustibles,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Inchcape Americas,INCHAPE AMERICAS,Automotriz,Desarrollo,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
LATAM Airlines,LATAM AERLINES,Travel & Aerolineas,Desarrollo,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,2,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Lactalis,LACTALIS,CPG Alimentos,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,12.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,2,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PC Factory,PC FACTORY,Retail Electro,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PJ Chile SpA,PJ CHILE SPA,Food & QSR,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Polla Chilena,POLLA,Juegos & Entretenimiento,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,10.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Reckitt,RECKITT,CPG Cuidado Personal,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Sky Airline,SKY AIRLINE,Travel & Aerolineas,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,12.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,2,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Tenpo,TENPO,Fintech & Banca,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,12.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Tricot,TRICOT,Retail Vestuario,Emergente,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Verisure,VERISURE,Servicios Hogar & Seguridad,Desarrollo,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,12.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
WOM,WOM,Telco,Desarrollo,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,11.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,3,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Watts,WATTS,CPG Alimentos,Desarrollo,CAPI Offline CRM,CAPI Automated Offline Integration with CRM,Data Management & Engineering,Server Side Solutions,CSA - Tech,Proyecto,Medio,True,solo:CAPI Automated Offline Integration with CRM,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.6,34.6,C,12.0,4068.0,4067.79,4067.79,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.937,0.1,34.635,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,2,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Cruz Verde,CRUZ VERDE,Retail Farmacia,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Decathlon,DECATHLON,Retail Deportes,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Gasco,GASCO,Energia & Combustibles,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Inchcape Americas,INCHAPE AMERICAS,Automotriz,Desarrollo,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
LATAM Airlines,LATAM AERLINES,Travel & Aerolineas,Desarrollo,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,2,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PC Factory,PC FACTORY,Retail Electro,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PJ Chile SpA,PJ CHILE SPA,Food & QSR,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Polla Chilena,POLLA,Juegos & Entretenimiento,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,11.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Reckitt,RECKITT,CPG Cuidado Personal,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,12.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Sky Airline,SKY AIRLINE,Travel & Aerolineas,Emergente,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Proyecto,Alto,True,solo:VIGenAIr,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,34.4,34.4,C,13.0,4945.0,4944.58,4944.58,Historico CL,Valor cerrado en Chile,0.141,0.0,1.0,0.921,0.1,34.438,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,2,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
